id,currency_id,interval_id,sentiment_score,end_time,direction,news_num
732266386d9847d299fe62fb65278199,2,1,-1.23900000,"2018-10-01 00:01:00",NULL,0
3947598a7e654c76ba48870dcf8fa687,2,1,-1.09500000,"2018-10-01 00:02:00",NULL,0
dd8f247169784d8a8bfbb39768102ad3,2,1,-0.38120000,"2018-10-01 00:03:00",NULL,1
edd442ef3593414da1fa5c9decdaaf22,2,1,0.00000000,"2018-10-01 00:04:00",NULL,0
7631a089024946b398671ab021ac6f44,2,1,0.00000000,"2018-10-01 00:05:00",NULL,0
b9cbe3a6808b442d8f87a8b2d87790bb,2,1,0.00000000,"2018-10-01 00:06:00",NULL,0
87cae26e9843470897fd71e284f772ef,2,1,0.00000000,"2018-10-01 00:07:00",NULL,0
0467ffc30b9349e3ab74af0c97d9b389,2,1,0.00000000,"2018-10-01 00:08:00",NULL,0
0290f1a8f7bb44929d7b8cc0d873b595,2,1,0.00000000,"2018-10-01 00:09:00",NULL,0
3b0fdcf04b4144ff915f0528e9c247bd,2,1,0.00000000,"2018-10-01 00:10:00",NULL,0
7103d01643ce4b13a2933a76eb0c95f6,2,1,0.00000000,"2018-10-01 00:12:00",NULL,0
937ce17fd65b4e35928159f320fa7238,2,1,0.00000000,"2018-10-01 00:14:00",NULL,0
e6a4b1c5fb5243f0aa7f29b800b99951,2,1,0.00000000,"2018-10-01 00:15:00",NULL,1
648fc76887bc4a40a77eb150548d1f22,2,1,0.00000000,"2018-10-01 00:16:00",NULL,1
8e35811ce94c4852b39b3f74b023dcb2,2,1,0.00000000,"2018-10-01 00:17:00",NULL,0
6533b7b0c530455897ce1138b644888d,2,1,0.00000000,"2018-10-01 00:18:00",NULL,0
2e3dd92a92484452a7c1a1e870dd77e1,2,1,0.00000000,"2018-10-01 00:19:00",NULL,0
7a100eef0f1a4efe993e99c46dd02804,2,1,0.00000000,"2018-10-01 00:20:00",NULL,0
a403942fcbb741949fafe3a8ef000358,2,1,0.00000000,"2018-10-01 00:21:00",NULL,0
e4af6728790146c0b3d1a796edc2d920,2,1,0.00000000,"2018-10-01 00:22:00",NULL,0
6731626c4fb94ac69e5f15d5a468f058,2,1,-0.97280000,"2018-10-01 00:23:00",NULL,1
a1ced6aa7688433db46a6f005fc2e31c,2,1,-1.05400000,"2018-10-01 00:24:00",NULL,0
8b74348873184ab89dbdd28373162dba,2,1,0.00000000,"2018-10-01 00:25:00",NULL,0
1c5c6119233b42be850e010862763d89,2,1,0.00000000,"2018-10-01 00:26:00",NULL,0
6e0f285d626d485aa3c1436e353192ab,2,1,0.00000000,"2018-10-01 00:27:00",NULL,0
1040d87faeb74383a8e8c3275df928b4,2,1,0.00000000,"2018-10-01 00:28:00",NULL,0
188891c503d946bb89227f8a9344d7c2,2,1,0.00000000,"2018-10-01 00:29:00",NULL,0
efc480d915674ba6a24cbb6388b90197,2,1,0.00000000,"2018-10-01 00:30:00",NULL,0
f5f5473e75514fc1a5ee02575e5523d9,2,1,0.00000000,"2018-10-01 00:31:00",NULL,0
e01b01c53bbf494caf1ed0e05a9e86d0,2,1,0.00000000,"2018-10-01 00:32:00",NULL,0
