pos,neu,neg
1.00E-04,0.00011,0.00017
0.0002,1.00E-05,0.00E+00
4.00E-05,1.00E-05,7.00E-04
0.00013,4.00E-05,1.10E-04
9.00E-05,3.00E-05,6.40E-04
0,0.00014,0.00016
2.00E-05,0.00016,0.00023
0.00016,5.00E-05,2.00E-05
0.00017,6.00E-05,8.00E-05
3.00E-05,8.00E-05,2.70E-04
0.00021,7.00E-05,4.00E-05
0.00014,0.00062,0.00012
8.00E-05,0,8.00E-05
2.00E-05,0.00022,0.00018
9.00E-05,5.00E-05,4.00E-05
0.00021,0.00011,9.00E-05
0.00011,4.00E-05,1.60E-04
0.00011,7.00E-05,5.00E-05
9.00E-05,6.00E-05,5.00E-05
0.00016,1.00E-04,1.10E-04
1.00E-05,0.00067,0.00043
6.00E-05,0.00056,8.00E-05
0.00011,0.0002,0.00018
0.00024,0.00014,0.00012
0.00017,1.00E-04,2.80E-04
1.00E-05,0.00034,0.00031
0.00017,3.00E-05,1.10E-04
9.00E-05,1.00E-05,1.00E-04
0.00011,9.00E-05,6.00E-05
9.00E-05,0.00051,0.00032
9.00E-05,0.00042,0.00013
6.00E-05,0.00012,0.00019
0.00016,0.00022,9.00E-05
8.00E-05,0.00051,5.00E-05
0.00064,8.00E-05,1.90E-04
0.00025,0.00024,5.00E-05
0.0004,0,0.00041
0.00016,0.00016,0
0,0.00011,1.00E-04
8.00E-05,0.00024,0.00018
0.00064,0.0003,0.00025
2.00E-05,0.00012,3.00E-05
0.00042,8.00E-05,2.10E-04
0.00022,0.00238,0.00015
0.00062,0.00024,1.00E-04
0.00031,0.00025,0.0002
2.00E-05,8.00E-05,3.90E-04
7.00E-05,0.00011,0
1.00E-04,5.00E-05,3.00E-04
5.00E-05,0.00054,0.00028
8.00E-05,6.00E-05,1.10E-04
0.0002,0.00013,8.00E-05
1.00E-04,0.00025,0.00022
5.00E-05,7.00E-05,9.20E-04
5.00E-05,0.00013,0.00021
8.00E-05,0.00064,0.00024
1.00E-04,0.00018,0.00032
0.00015,0.00029,1.00E-04
0.00079,0.00044,0.00053
0,1.00E-05,2.80E-04
0.0003,5.00E-05,1.10E-04
0.00025,0.00042,7.00E-05
4.00E-05,0.00018,0.00044
9.00E-05,1.00E-04,1.30E-04
0.00018,0.00011,0.00013
0.00015,4.00E-05,2.00E-04
5.00E-05,9.00E-05,2.20E-04
0.00026,4.00E-05,5.00E-04
2.00E-05,8.00E-05,1.20E-04
3.00E-05,1.00E-05,1.80E-04
0.0002,9.00E-05,9.00E-05
0.00086,0.00026,4.00E-05
0.00031,0.00059,2.00E-05
0.00016,0.00044,0.00013
0.00028,1.00E-04,1.10E-04
0.00044,0.00013,7.00E-05
0.00064,1.00E-04,1.40E-04
1.00E-04,1.00E-04,1.10E-04
0.00044,0.00012,0.0002
0.00051,3.00E-05,2.40E-04
0.00015,9.00E-05,5.90E-04
0.00017,9.00E-05,4.20E-04
2.00E-05,7.00E-05,7.60E-04
0.00015,9.00E-05,9.00E-05
0.00013,0.00042,0.00019
0.00027,0.00046,0.00014
0.00027,2.00E-05,6.50E-04
0.00053,1.00E-04,2.20E-04
0.00053,0.00025,0.00033
0.00059,0.00042,0.00028
0.00028,0.00011,0.00017
0.00024,1.00E-05,3.90E-04
5.00E-05,5.00E-05,None
5.00E-05,None,None
1.00E-05,None,None
0.00047,None,None
0.00027,None,None
0.00016,None,None
0.00051,None,None
0.00053,None,None
0.00024,None,None
9.00E-05,None,None
3.00E-05,None,None
3.00E-05,None,None
0.00025,None,None
0.0002,None,None
1.00E-05,None,None
0.00029,None,None
1.00E-04,None,None
0.00018,None,None
0.00011,None,None
0.00012,None,None
0.00036,None,None
8.00E-05,None,None
0.00015,None,None
9.00E-05,None,None
0.00019,None,6.00E-05
0.00059,None,7.00E-05
0.00025,None,4.00E-05
0.00033,None,0.00029
9.00E-05,None,0.00013
0.00066,0.00043,0.00069
0.00022,0.00014,0.00092
0.00033,7.00E-05,6.10E-04
0.00017,6.00E-05,2.40E-04
0.00023,7.00E-05,1.30E-04
0.00021,3.00E-05,6.00E-05
0.00052,6.00E-05,4.70E-04
