Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
0.00023,0.00031,0.00012,0.0008,0.00011,0.00043
0.00016,0.00031,0.00012,0.00073,0.00013,0.00027
0.00046,0.00011,0.00028,0.00074,0.00041,0.00043
0.00028,0.0002,0.00033,0.00084,0.00037,0.00045
0.00012,0.00018,0.00062,0.00012,0.00097,0.00093
0.00058,2.00E-05,0.00013,0.00081,0.00104,0.00035
0.00024,0.00042,0.00014,0.00039,0.0004,1.00E-04
5.00E-05,0.00036,0.00016,0.00027,0.00013,0.0003
5.00E-05,8.00E-05,0.00013,0.00011,0.00029,0.00047
0.0002,0.00054,0.00048,0.00038,0.00037,0.00036
0.00035,1.00E-04,0.00015,0.00029,0.00045,0.00135
4.00E-05,0.00047,0.00016,0.0003,0.00055,0.00127
7.00E-05,0.0016,0.00016,0.00041,4.00E-05,0.00024
0.00015,0.00028,0.00092,0.00058,0.00105,0.00073
0.00013,0.00016,0.00013,0.00021,4.00E-05,0.00019
0.00036,0.00025,0.00023,0.00049,0.00012,0.00016
0.00036,0.0003,0.0002,0.00021,0.00024,0
0.00023,0.00011,0.00029,0.0002,0.00018,0.00011
2.00E-05,0.00013,0.00043,0.00014,0.00072,0.0004
0.0004,0.00041,0.00027,2.00E-05,0.00019,0.00117
0.00074,0.00037,0.00025,0.00011,7.00E-05,0.00061
0.00047,0.00097,0.00043,0.0001,0.00016,0.00037
0.00014,0.00104,0.00045,0.00017,3.00E-05,0.00013
0.00077,0.0004,0.00093,0.00045,7.00E-05,1.00E-04
0.00064,0.00013,0.00035,0.00019,0.0004,0.00025
0.00078,0.00029,1.00E-04,0.00032,1.00E-04,0.00013
0.00025,0.00037,0.0003,0.00036,1.00E-05,0.00012
0.0008,0.00045,0.00047,0.00012,0.0002,0.00066
0.00073,0.00078,0.00036,0.00045,0.00013,6.00E-05
0.00074,0.00055,0.00135,5.00E-05,5.00E-05,6.00E-05
0.00035,0.0004,0.00127,5.00E-05,0.00061,1.00E-04
4.00E-05,4.00E-05,0.00108,0.0009,0.00031,0.00065
0.00084,0.00105,0.00017,0.00102,0.0006,0.00239
0.00012,4.00E-05,0.00024,0.00042,0.00033,0.00032
0.00081,0.00012,0.00073,0.00043,0.00051,0.00052
0.00039,0.00024,0.00019,0.00022,0.00035,0.00018
0.00039,0.00018,0.00016,0.00033,0.00015,0.00012
0.00027,0.00023,0,0.00092,0.00036,6.00E-05
0.00011,0.00072,0.00011,0.00053,0.00035,6.00E-05
1.00E-04,0.00022,0.0004,0.00019,0.00058,7.00E-05
0.00038,0.00019,0.00117,0.00031,0.00019,3.00E-05
0.00031,7.00E-05,1.00E-04,0.00038,0.00032,0.00031
0.00029,0.00016,0.00061,0.00059,8.00E-05,0.00041
0.0003,3.00E-05,0.00037,0.00088,0.00011,6.00E-05
0.00041,7.00E-05,0.00042,0.00044,0.00015,0.00045
0.00054,0.0004,0.00013,0.00063,0.0002,6.00E-05
0.00081,1.00E-04,1.00E-04,0,9.00E-05,0.00027
0.00058,1.00E-05,0.00025,0.00021,0.00048,0.00034
0.00021,0.0002,0.00013,3.00E-05,0.00025,0.00056
0.00049,0.00013,0.00012,2.00E-05,0.00021,0.0005
0.00021,0.00021,0.00066,5.00E-05,0.00031,0.00168
0.00032,5.00E-05,6.00E-05,9.00E-05,0.00065,0.00028
0.0002,0.00061,6.00E-05,5.00E-05,0.00079,0.00069
0.00014,0.00031,1.00E-04,5.00E-05,0.00012,0.00039
2.00E-05,0.0006,0.00065,1.00E-04,0.00026,0.00032
1.00E-05,0.00033,0.00037,0.00015,0.00012,0.00013
0.00011,0.00051,0.0006,0.00052,0.00015,0.00029
0.0001,0.00041,0.0002,0.00024,0.0005,0.0003
0.00017,0.00035,0.00239,0.00025,0.00027,1.00E-05
0.00045,0.00015,0.00032,0.00012,6.00E-05,6.00E-05
0.00019,0.00036,0.00052,0.00068,8.00E-05,5.00E-05
0.00032,0.00035,0.00018,0.00031,0.00047,0.00022
0.00036,0.00058,0.00012,0.00056,0.00054,6.00E-05
0.00012,0.00019,6.00E-05,0.00044,0.00186,0.00037
0.00045,0.00032,6.00E-05,1.00E-04,0.00174,0.00034
0.00011,0.00016,7.00E-05,0.0006,1.00E-05,0.00016
5.00E-05,1.00E-04,3.00E-05,0.00018,0.00011,0.00032
5.00E-05,8.00E-05,0.00031,6.00E-05,0.00027,5.00E-05
