20181101 013600;1.134170;1.134280;1.134120;1.134280;0
20181101 013700;1.134280;1.134300;1.134230;1.134290;0
20181101 013900;1.134280;1.134280;1.134240;1.134280;0
20181101 014000;1.134300;1.134300;1.134230;1.134240;0
20181101 014100;1.134240;1.134300;1.134220;1.134290;0
20181101 014200;1.134300;1.134380;1.134300;1.134360;0
20181101 014300;1.134370;1.134380;1.134360;1.134360;0
20181101 014400;1.134350;1.134430;1.134350;1.134430;0
20181101 014500;1.134420;1.134420;1.134130;1.134160;0
20181101 014600;1.134160;1.134230;1.134110;1.134220;0
20181101 014700;1.134220;1.134220;1.134140;1.134200;0
20181101 014800;1.134200;1.134200;1.134130;1.134180;0
20181101 014900;1.134230;1.134430;1.134230;1.134370;0
20181101 015000;1.134360;1.134380;1.134290;1.134290;0
20181101 015100;1.134280;1.134430;1.134160;1.134420;0
20181101 015200;1.134410;1.134410;1.134360;1.134380;0
20181101 015300;1.134370;1.134480;1.134370;1.134430;0
20181101 015400;1.134450;1.134480;1.134410;1.134430;0
20181101 015500;1.134420;1.134470;1.134350;1.134470;0
20181101 015600;1.134500;1.134540;1.134380;1.134440;0
20181101 015700;1.134440;1.134490;1.134440;1.134460;0
20181101 015800;1.134470;1.134480;1.134330;1.134330;0
20181101 015900;1.134320;1.134330;1.134210;1.134210;0
20181101 020000;1.134170;1.134190;1.134110;1.134130;0
20181101 020100;1.134130;1.134130;1.134120;1.134120;0
20181101 020200;1.134130;1.134130;1.134110;1.134130;0
20181101 020300;1.134130;1.134210;1.134130;1.134180;0
20181101 020400;1.134180;1.134240;1.134180;1.134190;0
20181101 020500;1.134190;1.134190;1.133950;1.134030;0
20181101 020600;1.134020;1.134060;1.133940;1.134050;0
20181101 020700;1.134040;1.134060;1.133820;1.133870;0
20181101 020800;1.133880;1.134070;1.133850;1.133930;0
20181101 020900;1.133930;1.133980;1.133880;1.133880;0
20181101 021000;1.133870;1.133880;1.133800;1.133880;0
20181101 021100;1.133870;1.134040;1.133870;1.134010;0
20181101 021200;1.133990;1.133990;1.133850;1.133910;0
20181101 021300;1.133920;1.134010;1.133900;1.133980;0
20181101 021400;1.133970;1.134080;1.133960;1.134050;0
20181101 021500;1.134060;1.134140;1.134040;1.134090;0
20181101 021600;1.134100;1.134180;1.134010;1.134170;0
20181101 021700;1.134180;1.134200;1.134070;1.134090;0
20181101 021800;1.134090;1.134090;1.133900;1.133930;0
20181101 021900;1.133920;1.134130;1.133900;1.134070;0
20181101 022000;1.134080;1.134080;1.134030;1.134070;0
20181101 022100;1.134060;1.134120;1.134060;1.134120;0
20181101 022200;1.134110;1.134330;1.133920;1.134260;0
20181101 022300;1.134260;1.134270;1.134160;1.134200;0
20181101 022400;1.134210;1.134220;1.134170;1.134220;0
20181101 022500;1.134230;1.134310;1.134210;1.134230;0
20181101 022600;1.134220;1.134230;1.134220;1.134220;0
20181101 022700;1.134230;1.134430;1.134220;1.134360;0
20181101 022800;1.134360;1.134480;1.134360;1.134420;0
20181101 022900;1.134410;1.134470;1.134410;1.134460;0
20181101 023000;1.134470;1.134530;1.134430;1.134480;0
20181101 023100;1.134470;1.134580;1.134420;1.134450;0
20181101 023200;1.134460;1.134470;1.134200;1.134220;0
20181101 023300;1.134200;1.134330;1.134150;1.134270;0
20181101 023400;1.134290;1.134330;1.134230;1.134310;0
20181101 023500;1.134310;1.134530;1.134310;1.134510;0
20181101 023600;1.134530;1.134630;1.134490;1.134580;0
20181101 023700;1.134600;1.134630;1.134470;1.134560;0
20181101 023800;1.134570;1.134720;1.134540;1.134630;0
20181101 023900;1.134620;1.134620;1.134440;1.134480;0
20181101 024000;1.134470;1.134520;1.134440;1.134470;0
20181101 024100;1.134470;1.134470;1.134310;1.134320;0
20181101 024200;1.134330;1.134350;1.134290;1.134320;0
20181101 024300;1.134360;1.134420;1.134320;1.134360;0
20181101 024400;1.134350;1.134420;1.134320;1.134380;0
20181101 024500;1.134390;1.134520;1.134390;1.134490;0
20181101 024600;1.134480;1.135230;1.134480;1.135170;0
20181101 024700;1.135170;1.135180;1.134970;1.135020;0
20181101 024800;1.135050;1.135050;1.134940;1.135000;0
20181101 024900;1.135020;1.135020;1.134740;1.134740;0
20181101 025000;1.134740;1.134830;1.134690;1.134720;0
20181101 025100;1.134720;1.134800;1.134480;1.134510;0
20181101 025200;1.134500;1.134600;1.134440;1.134540;0
20181101 025300;1.134550;1.134580;1.134450;1.134460;0
20181101 025400;1.134470;1.134630;1.134470;1.134630;0
20181101 025500;1.134630;1.134630;1.134450;1.134470;0
20181101 025600;1.134470;1.134570;1.134430;1.134480;0
20181101 025700;1.134480;1.134640;1.134480;1.134620;0
20181101 025800;1.134630;1.134670;1.134610;1.134670;0
20181101 025900;1.134680;1.135010;1.134630;1.134990;0
20181101 030000;1.134980;1.135080;1.134870;1.135020;0
20181101 030100;1.135040;1.135100;1.134720;1.135050;0
20181101 030200;1.135040;1.135270;1.135020;1.135220;0
20181101 030300;1.135230;1.135650;1.135180;1.135480;0
20181101 030400;1.135470;1.135700;1.135430;1.135440;0
20181101 030500;1.135450;1.135670;1.135340;1.135500;0
20181101 030600;1.135490;1.135560;1.135410;1.135540;0
20181101 030700;1.135540;1.135620;1.135520;1.135520;0
20181101 030800;1.135480;1.135570;1.135310;1.135570;0
20181101 030900;1.135570;1.135640;1.135540;1.135580;0
20181101 031000;1.135580;1.135680;1.135580;1.135680;0
20181101 031100;1.135680;1.135960;1.135680;1.135860;0
20181101 031200;1.135850;1.135990;1.135830;1.135890;0
20181101 031300;1.135910;1.136040;1.135780;1.135820;0
20181101 031400;1.135810;1.135830;1.135600;1.135640;0
